Distributor,YEAR,SEX,Count,Percentage
DC,1996,,1,0.531914894
DC,1996,Female Characters,62,32.9787234
DC,1996,Male Characters,125,66.4893617
DC,1997,,1,0.529100529
DC,1997,Female Characters,51,26.98412698
DC,1997,Genderless Characters,1,0.529100529
DC,1997,Male Characters,136,71.95767196
DC,1998,,4,2.797202797
DC,1998,Female Characters,45,31.46853147
DC,1998,Genderless Characters,2,1.398601399
DC,1998,Male Characters,92,64.33566434
DC,1999,,2,1.117318436
DC,1999,Female Characters,61,34.07821229
DC,1999,Male Characters,116,64.80446927
DC,2000,,3,1.973684211
DC,2000,Female Characters,46,30.26315789
DC,2000,Genderless Characters,1,0.657894737
DC,2000,Male Characters,102,67.10526316
DC,2001,,3,3.03030303
DC,2001,Female Characters,42,42.42424242
DC,2001,Male Characters,54,54.54545455
DC,2002,,4,3.47826087
DC,2002,Female Characters,41,35.65217391
DC,2002,Male Characters,70,60.86956522
DC,2003,Female Characters,32,31.06796117
DC,2003,Male Characters,71,68.93203883
DC,2004,Female Characters,31,30.39215686
DC,2004,Male Characters,71,69.60784314
DC,2005,,1,0.628930818
DC,2005,Female Characters,54,33.96226415
DC,2005,Genderless Characters,2,1.257861635
DC,2005,Male Characters,102,64.1509434
DC,2006,,8,2.640264026
DC,2006,Female Characters,96,31.68316832
DC,2006,Genderless Characters,1,0.330033003
DC,2006,Male Characters,198,65.34653465
DC,2007,,5,2.659574468
DC,2007,Female Characters,58,30.85106383
DC,2007,Genderless Characters,1,0.531914894
DC,2007,Male Characters,124,65.95744681
DC,2008,,4,1.895734597
DC,2008,Female Characters,74,35.07109005
DC,2008,Male Characters,133,63.03317536
DC,2009,,3,1.327433628
DC,2009,Female Characters,70,30.97345133
DC,2009,Male Characters,152,67.25663717
DC,2009,Transgender Characters,1,0.442477876
DC,2010,,6,2.150537634
DC,2010,Female Characters,74,26.52329749
DC,2010,Male Characters,199,71.32616487
DC,2011,,6,3.870967742
DC,2011,Female Characters,51,32.90322581
DC,2011,Male Characters,98,63.22580645
DC,2012,Female Characters,2,40
DC,2012,Male Characters,3,60
DC,2013,Male Characters,1,100
DC,NA,,1,1.449275362
DC,NA,Female Characters,20,28.98550725
DC,NA,Male Characters,48,69.56521739
Marvel,1939,,3,4.347826087
Marvel,1939,Female Characters,10,14.49275362
Marvel,1939,Male Characters,56,81.15942029
Marvel,1940,,5,2.262443439
Marvel,1940,Female Characters,33,14.9321267
Marvel,1940,Male Characters,183,82.80542986
Marvel,1941,,12,5.797101449
Marvel,1941,Female Characters,15,7.246376812
Marvel,1941,Male Characters,180,86.95652174
Marvel,1942,,10,4.098360656
Marvel,1942,Female Characters,14,5.737704918
Marvel,1942,Male Characters,220,90.16393443
Marvel,1943,,7,3.535353535
Marvel,1943,Female Characters,13,6.565656566
